Epoch,Validation Loss
1,2579.334228515625
2,2243.264404296875
3,1122.6639404296875
4,793.9677734375
5,557.3413696289062
6,512.5984497070312
7,441.92364501953125
8,649.1331787109375
9,532.5699462890625
10,402.69818115234375
11,424.7320556640625
12,560.5623168945312
13,403.2793273925781
14,435.8383483886719
15,465.661376953125
16,419.9036865234375
17,377.7087707519531
18,379.32861328125
19,393.5059509277344
20,396.0888977050781
