Epoch,Validation Loss
1,1.3686431646347046
2,1.3140329122543335
3,1.214625597000122
4,1.1228320598602295
5,1.092253565788269
6,0.9747442007064819
7,0.9572653770446777
8,0.914740800857544
9,0.9646784067153931
10,0.8809795379638672
11,0.8644590973854065
12,0.8522039651870728
13,0.8971299529075623
14,0.8261030316352844
15,0.8222180008888245
16,0.8032089471817017
17,0.7963151335716248
18,0.7850109934806824
19,0.7682873606681824
20,0.7193636894226074
21,0.7463986277580261
22,0.6788180470466614
23,0.6895354986190796
24,0.6416655778884888
25,0.6176121234893799
26,0.6143399477005005
27,0.610588014125824
28,0.6008698344230652
29,0.5684287548065186
30,0.6498356461524963
31,0.5757190585136414
32,0.5848841667175293
33,0.5386309623718262
34,0.5311493277549744
35,0.5162898898124695
36,0.5374170541763306
37,0.5002264380455017
38,0.48436179757118225
39,0.5274067521095276
40,0.5013058185577393
41,0.5003016591072083
42,0.5260155200958252
43,0.5079808235168457
44,0.4982163906097412
45,0.5264571905136108
46,0.4836972951889038
47,0.509532630443573
48,0.4801660180091858
49,0.4718097746372223
50,0.48068538308143616
